时间,次数,架号,检测值
2022-11-12 11:10:49.778587,48,4,4975206
2022-11-12 11:10:49.828457,71,3,4976170
2022-11-12 11:10:50.340128,170,2,4986429
2022-11-12 11:10:50.436877,166,1,4988311
2022-11-12 11:10:50.802927,49,4,4995739
2022-11-12 11:10:50.847810,72,3,4996542
2022-11-12 11:10:51.733510,171,2,5014342
2022-11-12 11:10:51.745479,167,1,5014612
2022-11-12 11:10:51.835246,50,4,5016431
2022-11-12 11:10:51.884122,73,3,5017073
2022-11-12 11:10:52.851608,51,4,5036798
2022-11-12 11:10:52.882528,74,3,5037439
2022-11-12 11:10:53.043109,172,2,5040649
2022-11-12 11:10:53.052086,168,1,5040914
2022-11-12 11:10:53.866971,52,4,5057177
2022-11-12 11:10:53.924821,75,3,5058296
2022-11-12 11:10:54.364679,173,2,5067115
2022-11-12 11:10:54.386622,169,1,5067377
2022-11-12 11:10:54.892308,53,4,5077704
2022-11-12 11:10:54.946168,76,3,5078828
2022-11-12 11:10:55.676271,174,2,5093416
2022-11-12 11:10:55.692230,170,1,5093836
2022-11-12 11:10:55.931609,54,4,5098392
2022-11-12 11:10:55.968513,77,3,5099193
2022-11-12 11:10:56.984874,175,2,5119715
2022-11-12 11:10:56.985871,78,3,5119715
2022-11-12 11:10:57.011804,171,1,5120178
2022-11-12 11:10:57.026765,55,4,5120518
2022-11-12 11:10:58.003229,79,3,5140076
2022-11-12 11:10:58.037141,56,4,5140717
2022-11-12 11:10:58.300459,176,2,5146012
2022-11-12 11:10:58.325394,172,1,5146466
2022-11-12 11:10:59.020587,80,3,5160435
2022-11-12 11:10:59.052504,57,4,5160757
2022-11-12 11:10:59.611056,177,2,5172307
2022-11-12 11:10:59.714785,173,1,5174364
2022-11-12 11:11:00.049914,81,3,5180962
2022-11-12 11:11:00.067868,58,4,5181283
2022-11-12 11:11:00.922648,178,2,5198598
2022-11-12 11:11:01.033361,174,1,5200806
2022-11-12 11:11:01.054308,82,3,5201162
2022-11-12 11:11:01.084229,59,4,5201642
2022-11-12 11:11:02.075654,83,3,5221655
2022-11-12 11:11:02.090615,60,4,5221975
2022-11-12 11:11:02.235240,179,2,5224857
2022-11-12 11:11:02.346949,175,1,5227061
2022-11-12 11:11:03.113958,84,3,5242448
2022-11-12 11:11:03.114955,61,4,5242448
2022-11-12 11:11:03.546834,180,2,5251085
2022-11-12 11:11:03.667520,176,1,5253442
2022-11-12 11:11:04.131317,62,4,5262753
2022-11-12 11:11:04.148273,85,3,5262915
2022-11-12 11:11:04.949194,181,2,5279065
2022-11-12 11:11:04.987095,177,1,5279661
2022-11-12 11:11:05.156655,86,3,5283214
2022-11-12 11:11:05.158650,63,4,5283215
2022-11-12 11:11:06.198949,87,3,5303844
2022-11-12 11:11:06.200942,64,4,5303684
2022-11-12 11:11:06.258791,182,2,5305278
2022-11-12 11:11:06.291706,178,1,5305869
2022-11-12 11:11:07.211318,88,3,5324144
2022-11-12 11:11:07.211318,65,4,5323986
2022-11-12 11:11:07.571383,183,2,5331491
2022-11-12 11:11:07.614272,179,1,5332083
2022-11-12 11:11:08.221694,66,4,5344461
2022-11-12 11:11:08.229673,89,3,5344620
2022-11-12 11:11:08.891954,184,2,5357739
2022-11-12 11:11:08.914894,180,1,5358331
2022-11-12 11:11:09.236060,67,4,5364794
2022-11-12 11:11:09.253017,90,3,5365115
2022-11-12 11:11:10.204545,185,2,5384028
2022-11-12 11:11:10.234468,181,1,5384773
2022-11-12 11:11:10.262396,68,4,5385313
2022-11-12 11:11:10.270375,91,3,5385474
2022-11-12 11:11:11.274766,69,4,5405687
2022-11-12 11:11:11.508160,186,2,5410346
2022-11-12 11:11:11.555039,182,1,5411247
2022-11-12 11:11:11.603911,92,3,5412274
2022-11-12 11:11:12.284145,70,4,5425927
2022-11-12 11:11:12.827733,187,2,5436845
2022-11-12 11:11:12.917500,93,3,5438612
2022-11-12 11:11:12.949418,183,1,5439193
2022-11-12 11:11:13.308485,71,4,5446490
2022-11-12 11:11:14.146309,188,2,5463355
2022-11-12 11:11:14.231090,94,3,5464965
2022-11-12 11:11:14.259018,184,1,5465537
2022-11-12 11:11:14.326841,72,4,5466892
2022-11-12 11:11:15.342205,73,4,5487292
2022-11-12 11:11:15.460896,189,2,5489701
2022-11-12 11:11:15.547672,95,3,5491468
2022-11-12 11:11:15.572607,185,1,5491873
2022-11-12 11:11:16.356572,74,4,5507675
2022-11-12 11:11:16.772490,190,2,5516026
2022-11-12 11:11:16.860262,96,3,5517792
2022-11-12 11:11:16.885197,186,1,5518238
2022-11-12 11:11:17.397867,75,4,5528531
2022-11-12 11:11:18.163877,191,2,5543932
2022-11-12 11:11:18.170859,97,3,5544091
2022-11-12 11:11:18.202776,187,1,5544697
2022-11-12 11:11:18.422208,76,4,5549056
2022-11-12 11:11:19.437570,77,4,5569399
2022-11-12 11:11:19.483450,192,2,5570360
2022-11-12 11:11:19.483450,98,3,5570360
2022-11-12 11:11:19.510380,188,1,5570918
2022-11-12 11:11:20.462907,78,4,5589881
2022-11-12 11:11:20.804021,193,2,5596597
2022-11-12 11:11:20.805018,99,3,5596598
2022-11-12 11:11:20.828956,189,1,5597191
2022-11-12 11:11:21.476275,79,4,5610188
2022-11-12 11:11:22.109631,100,3,5622819
2022-11-12 11:11:22.115616,194,2,5622978
2022-11-12 11:11:22.138555,190,1,5623411
2022-11-12 11:11:22.499618,80,4,5630648
2022-11-12 11:11:23.429204,195,2,5649196
2022-11-12 11:11:23.429204,101,3,5649197
2022-11-12 11:11:23.447157,191,1,5649622
2022-11-12 11:11:23.516976,81,4,5650950
2022-11-12 11:11:24.539322,82,4,5671425
2022-11-12 11:11:24.742794,196,2,5675413
