PID     	进程名                                     	工作目录的绝对路径
15280   	RuntimeBroker.exe                       	C:\Windows\System32\RuntimeBroker.exe
15420   	SchneiderElectric.SoMachineBasic.GatewayWindowsService.exe	C:\Program Files (x86)\Schneider Electric\SoMachine Basic\SchneiderElectric.SoMachineBasic.GatewayWindowsService.exe
15464   	SearchUI.exe                            	C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe
15488   	ServiceHub.Host.netfx.x86.exe           	D:\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.Host.netfx.x86.exe
15960   	PerfWatson2.exe                         	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\PerfWatson2.exe
16092   	svchost.exe                             	C:\Windows\System32\svchost.exe
16124   	vsls-agent.exe                          	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Extensions\Microsoft\LiveShare\Agent\vsls-agent.exe
16196   	ServiceHub.ThreadedWaitDialog.exe       	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.ThreadedWaitDialog.exe
16220   	Microsoft.ServiceHub.Controller.exe     	D:\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\controller\Microsoft.ServiceHub.Controller.exe
16288   	RuntimeBroker.exe                       	C:\Windows\System32\RuntimeBroker.exe
16392   	ServiceHub.VSDetouredHost.exe           	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.VSDetouredHost.exe
16472   	CDGRegedit.exe                          	C:\Program Files\EsafeNet\Cobra DocGuard Client\CDGRegedit.exe
16520   	Everything.exe                          	D:\Everything\Everything.exe
16556   	conhost.exe                             	C:\Windows\System32\conhost.exe
16672   	IGCCTray.exe                            	C:\Program Files\WindowsApps\AppUp.IntelGraphicsExperience_1.100.3408.0_x64__8j3eq9eme6ctt\GCP.ML.BackgroundSysTray\IGCCTray.exe
16696   	Everything.exe                          	D:\Everything\Everything.exe
16800   	GoogleCrashHandler.exe                  	C:\Program Files (x86)\Google\Update\1.3.36.152\GoogleCrashHandler.exe
16956   	CodeMeterCC.exe                         	C:\Program Files (x86)\CodeMeter\Runtime\bin\CodeMeterCC.exe
17096   	HipsTray.exe                            	D:\Program Files (x86)\Huorong\Sysdiag\bin\HipsTray.exe
17128   	TaskbarTools.exe                        	G:\透明任务栏\TaskbarTools\TaskbarTools.exe
17172   	CastSrv.exe                             	C:\Windows\System32\CastSrv.exe
17268   	SunloginClient.exe                      	D:\SunLogin\SunloginClient\SunloginClient.exe
17276   	ServiceHub.IdentityHost.exe             	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe
17380   	GoogleCrashHandler64.exe                	C:\Program Files (x86)\Google\Update\1.3.36.152\GoogleCrashHandler64.exe
17440   	owebuinw.exe                            	C:\Windows\SysWOW64\Ocular3Path\SCClient\bin\owebuinw.exe
17444   	Calculator.exe                          	C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe
17508   	svchost.exe                             	C:\Windows\System32\svchost.exe
17652   	ApplicationFrameHost.exe                	C:\Windows\System32\ApplicationFrameHost.exe
17736   	WXWorkWeb.exe                           	D:\Program Files (x86)\WXWork\4.0.16.6007\WXWorkWeb.exe
17748   	dllhost.exe                             	C:\Windows\System32\dllhost.exe
17788   	ServiceHub.VSDetouredHost.exe           	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.VSDetouredHost.exe
17800   	RuntimeBroker.exe                       	C:\Windows\System32\RuntimeBroker.exe
17908   	svchost.exe                             	C:\Windows\System32\svchost.exe
17940   	WXWorkWeb.exe                           	D:\Program Files (x86)\WXWork\4.0.16.6007\WXWorkWeb.exe
18044   	SecurityHealthService.exe               	C:\Windows\System32\SecurityHealthService.exe
18084   	IGCC.exe                                	C:\Program Files\WindowsApps\AppUp.IntelGraphicsExperience_1.100.3408.0_x64__8j3eq9eme6ctt\IGCC.exe
18264   	svchost.exe                             	C:\Windows\System32\svchost.exe
18280   	chrome.exe                              	C:\Program Files\Google\Chrome\Application\chrome.exe
18484   	chrome.exe                              	C:\Program Files\Google\Chrome\Application\chrome.exe
18556   	WXWorkWeb.exe                           	D:\Program Files (x86)\WXWork\4.0.16.6007\WXWorkWeb.exe
18600   	ServiceHub.Host.CLR.x86.exe             	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe
18740   	owebuinw.exe                            	C:\Windows\SysWOW64\Ocular3Path\SCClient\bin\owebuinw.exe
